Category,Part Number,Description,Vendor,Quantity,in Drawing,,,,,,,,,,,,
custom,FAB-P0005,Upper Tower Plate,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0008,M-227 Clamp,Custom/Shop,3,,,,,,,,,,,,,
custom,FAB-P0009,Sample Holder,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0010,Lower Float Plate,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0015,Lower OBJ Holder,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0018,"Mirror Mount, U100",Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-P0019,"Mirror Mount, SS100",Custom/Shop,6,,,,,,,,,,,,,
custom,FAB-P0025,Vertical Support Foot,Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-P0026,Vertical Support Leg,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0027,Mirror Mount 45DEG SS100,Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-P0028,"Lens Mount, LMR1/M",Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-P0029,Filter Cube/Lens Support Upper,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0031,Bridge Brace,Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-P0032,Filter Cube - Excitation,Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-P0033,Filter Cube - Emission,Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-P0035,Sample Holder for 2 Cover Glass,Custom/Shop,10,,,,,,,,,,,,,
custom,FAB-P0039,Prism Glue-on Mount,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0044,BS Lens Mount,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0048,Wedge Only Mount UPPER,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0050,Wedge Only Mount LOWER,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0051,Wedge Support Large,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0052,C-Mount Bolt for iXon,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0043,Mount for widefield mirror,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-P0042 - w/sCMOS,Triangle iXon camera bracket,Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-P0041,sCMOS Mount Plate,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-CAM001,Filter Wheel Mounting Bracket,Custom/Shop,1,,,,,,,,,,,,,
custom,FAB-CAM005,Cavity Shutter Mount,Custom/Shop,2,,,,,,,,,,,,,
custom,FAB-CAM013,Vertical Support with Cutout,Custom/Shop,1,,,,,,,,,,,,,
